idx,umls_cui,se_name
409,C1720775,Renal tubular necrosis
410,C1443060,Feeling abnormal
411,C0006384,Bundle branch block
412,C0006849,Oral candidiasis
413,C0041582,Ulcer
414,C0151878,Electrocardiogram QT prolonged
415,C0028081,Night sweats
416,C0022354,Jaundice cholestatic
417,C0034880,Hyperacusis
418,C1527344,Dysphonia
419,C0042164,Uveitis
420,C0235309,Abdominal discomfort
421,C0019572,Hirsutism
422,C0023533,Vaginal discharge
423,C2225524,Breast enlargement
424,C0007787,Transient ischaemic attack
425,C0152227,Lacrimation increased
426,C0020557,Hypertriglyceridaemia
427,C0030794,Pelvic pain
428,C0038363,Aphthous stomatitis
429,C0549249,Altered state of consciousness
430,C0027651,Neoplasm
431,C0036508,Seborrhoeic dermatitis
432,C0011071,Sudden death
433,C0014549,Grand mal convulsion
434,C2363731,Oropharyngeal pain
435,C0151889,Hyperreflexia
436,C0151754,Blood lactate dehydrogenase increased
437,C0015732,Faecal incontinence
438,C0699828,Serotonin syndrome
439,C0014743,Erythema nodosum
440,C0014394,Enuresis
441,C0027813,Neuritis
442,C0027932,Neurosis
443,C0392386,Platelet count decreased
444,C0277925,Peripheral coldness
445,C0005779,Coagulopathy
446,C0005940,Bone disorder
447,C0024282,Lymphocytosis
448,C0018991,Hemiplegia
449,C0018939,Blood disorder
450,C0006325,Bruxism
451,C0000833,Abscess
452,C0031039,Pericardial effusion
453,C0023895,Liver disorder
454,C0018834,Dyspepsia
455,C0235378,Hepatotoxicity
456,C0017605,Angle closure glaucoma
457,C0006444,Bursitis
458,C0700184,Throat irritation
459,C0151744,Myocardial ischaemia
460,C0015402,Eye haemorrhage
461,C0085096,Peripheral vascular disorder
462,C0151773,Pancytopenia
463,C1956346,Coronary artery disease
464,C0004239,Atrial flutter
465,C0085641,Rash pustular
466,C0018021,Goitre
467,C0973461,Aphasia
468,C0235198,Mental disability
469,C0022081,Iritis
470,C2747793,Acute phosphate nephropathy
471,C0026837,Muscle rigidity
472,C0234133,Extrapyramidal disorder
473,C0006852,Vulvovaginal candidiasis
474,C0039503,Tendonitis
475,C0034186,Pyelonephritis
476,C0023052,Laryngeal oedema
477,C0027709,Nephrocalcinosis
478,C0085624,Burning sensation
479,C0002884,Hypochromic anaemia
480,C0013295,Duodenal ulcer
481,C0162119,Haemoglobin decreased
482,C0575090,Balance disorder
483,C0023222,Pain in extremity
484,C0235063,Respiratory depression
485,C0020672,Hypothermia
486,C0746883,Febrile neutropenia
487,C0022281,Eye pruritus
488,C0149904,Hepatitis cholestatic
489,C0235234,Dry throat
490,C0234238,Pain
491,C0151596,Tongue discolouration
492,C0268000,Fluid retention
493,C0392025,Abdominal distension
494,C0010520,Cyanosis
495,C0012813,Diverticulitis
496,C0392699,Dysaesthesia
497,C0031154,Peritonitis
498,C2939147,Feeling hot
499,C3203358,Hypoxia
500,C2937350,Ejaculation disorder
501,C0152031,Joint swelling
502,C0039520,Tenosynovitis
503,C0948525,Musculoskeletal stiffness
504,C0020550,Hyperthyroidism
505,C0038661,Completed suicide
506,C0852911,Blood alkaline phosphatase increased
507,C0005758,Blister
508,C0038450,Stridor
509,C1145670,Respiratory failure
510,C0151838,Paraesthesia oral
511,C0029134,Optic neuritis
512,C0687133,Drug interaction
513,C0086769,Panic attack
514,C0151699,Haemorrhage intracranial
515,C0020542,Pulmonary hypertension
516,C0235490,Peripheral ischaemia
517,C0232459,Dyspepsia
518,C0031046,Pericarditis
519,C0001122,Acidosis
520,C0235818,Dermatitis bullous
521,C0024141,Systemic lupus erythematosus
522,C0302295,Rash
523,C0016867,Furuncle
524,C0332575,Erythema
525,C0151763,Hepatocellular injury
526,C0151205,Periorbital oedema
527,C0241863,Diabetes mellitus
528,C0006826,Neoplasm malignant
529,C0042134,Uterine haemorrhage
530,C0438717,Transaminases increased
531,C0003873,Arthritis
532,C0233477,Dysphoria
533,C0043251,Injury
534,C0686347,Tardive dyskinesia
535,C0007971,Cheilitis
536,C0011615,Dermatitis atopic
537,C0549209,Feeling jittery
538,C0041349,Tubulointerstitial nephritis
539,C0029442,Osteomalacia
540,C0024236,Lymphoedema
541,C0028643,Hypoaesthesia
542,C0018800,Cardiomegaly
543,C0151740,Intracranial pressure increased
544,C0021845,Intestinal perforation
545,C0151888,Hyporeflexia
546,C0241934,Hypomania
547,C0546817,Fluid overload
548,C0677500,Pain
549,C0036830,Serum sickness
550,C0011630,Fungal skin infection
551,C0162529,Colitis ischaemic
552,C0332534,Induration
553,C0085583,Choreoathetosis
554,C0700225,Blood creatinine increased
555,C0009760,Conjunctival haemorrhage
556,C0038367,Mouth ulceration
557,C0152517,Viral diarrhoea
558,C0878544,Cardiomyopathy
559,C0042345,Varicose vein
560,C0857305,Thrombocytopenic purpura
561,C0085610,Sinus bradycardia
562,C0036416,Scleritis
563,C0155169,Endophthalmitis
564,C0004144,Pneumothorax
565,C0027121,Myositis
566,C1096035,Infusion site pain
567,C1257843,Pseudomembranous colitis
568,C0027339,Nail disorder
569,C0277585,Drug intolerance
570,C0151436,Leukocytoclastic vasculitis
571,C0151474,Alcohol intolerance
572,C0020639,Hypoproteinaemia
573,C0235639,Urine analysis abnormal
574,C0221100,Hangover
575,C0019151,Hepatic encephalopathy
576,C0235086,Muscle contractions involuntary
577,C0242422,Parkinsonism
578,C0019825,Dysphonia
579,C0234233,Tenderness
580,C0002957,Anger
581,C0002390,Alveolitis allergic
582,C0234022,Anorgasmia
583,C0022104,Irritable bowel syndrome
584,C0041364,Tumour lysis syndrome
585,C0000729,Abdominal pain
586,C0001339,Pancreatitis acute
587,C1457883,Aggression
588,C0152027,Sensory disturbance
589,C0007820,Cerebrovascular disorder
590,C0003962,Ascites
591,C1527311,Brain oedema
592,C0042035,Micturition disorder
593,C0013447,Ear disorder
594,C0541832,Chromaturia
595,C0852733,Completed suicide
596,C0870082,Hyperkeratosis
597,C0497327,Dementia
598,C0035222,Acute respiratory distress syndrome
599,C0015376,Extravasation
600,C0016436,Folliculitis
601,C0085635,Photopsia
602,C0085637,Oculogyric crisis
603,C0015469,VIIth nerve paralysis
604,C0344315,Depressed mood
605,C0162298,Joint stiffness
606,C0027726,Nephrotic syndrome
607,C0233514,Abnormal behaviour
608,C0022116,Ischaemia
609,C0234518,Dysarthria
610,C2697368,Abdominal discomfort
611,C1971624,Decreased appetite
612,C2004489,Regurgitation
613,C0235567,Sputum increased
614,C0019209,Hepatomegaly
615,C0235896,Lung infiltration
616,C0234987,Dizziness postural
617,C0033575,Prostatic disorder
618,C0028259,Nodule
619,C0032290,Pneumonia aspiration
620,C0032231,Pleurisy
621,C0033036,Supraventricular extrasystoles
622,C0018946,Subdural haematoma
623,C0018808,Cardiac murmur
624,C0232493,Abdominal pain upper
625,C0030552,Paresis
626,C0151717,Skin hypertrophy
627,C0020514,Hyperprolactinaemia
628,C0020569,Salivary gland enlargement
629,C0034155,Thrombotic thrombocytopenic purpura
630,C0034069,Pulmonary fibrosis
631,C0033771,Prurigo
632,C0349790,Asthma
633,C0162297,Respiratory arrest
634,C0085614,Atrioventricular block first degree
635,C0521500,Injection site extravasation
636,C0035258,Restless legs syndrome
637,C0035317,Retinal haemorrhage
638,C0497365,Rash generalised
639,C0438215,Laboratory test abnormal
640,C0427008,Musculoskeletal stiffness
641,C0920102,Blood phosphorus decreased
642,C0156404,Menstruation irregular
643,C0853692,Blood triglycerides increased
644,C0855333,Electrocardiogram QT prolonged
645,C1761613,Conjunctival hyperaemia
646,C0038587,Withdrawal syndrome
647,C2973529,Leukocytoclastic vasculitis
648,C0152032,Urinary hesitation
649,C0040485,Torticollis
650,C0041105,Trismus
651,C0948991,Injection site discolouration
652,C0162835,Leukoderma
653,C0027697,Nephritis
654,C0877232,Local swelling
655,C0026205,Miosis
656,C0025637,Methaemoglobinaemia
657,C0025290,Meningitis aseptic
658,C0205204,Scab
659,C0151594,Diarrhoea haemorrhagic
660,C0239981,Hypoalbuminaemia
661,C0151611,Electroencephalogram abnormal
662,C0018772,Hearing impaired
663,C0162316,Iron deficiency anaemia
664,C0026650,Dyskinesia
665,C0221201,Rash macular
666,C0231919,Nasal dryness
667,C0750394,White blood cell count decreased
668,C0233565,Bradykinesia
669,C0008033,Pleuritic pain
670,C0221512,Abdominal pain upper
671,C0037383,Sneezing
672,C0085602,Polydipsia
673,C0548823,Abdominal discomfort
674,C0595877,Blood glucose increased
675,C0234708,Intraocular pressure increased
676,C0233715,Speech disorder
677,C0022904,Lacrimal disorder
678,C0030446,Ileus paralytic
679,C0020546,Hypertensive crisis
680,C0235437,Gravitational oedema
681,C0030353,Optic neuritis
682,C0151701,Pulmonary haemorrhage
683,C0034359,Pyuria
684,C0235886,Oedema peripheral
685,C0235901,Lacrimal disorder
686,C0019270,Hernia
687,C0014236,Endophthalmitis
688,C0151479,Amylase increased
689,C0242184,Hypoxia
690,C0151970,Oesophageal ulcer
691,C0392525,Nephrolithiasis
692,C0423006,Eye discharge
693,C0151313,Peripheral sensory neuropathy
694,C0151315,Nuchal rigidity
695,C0017672,Glossodynia
696,C0271051,Macular oedema
697,C0270996,Eye swelling
698,C0151626,Toxic epidermal necrolysis
699,C0259799,Punctate keratitis
700,C0027540,Necrosis
701,C0152030,Skin irritation
702,C0039239,Sinus tachycardia
703,C0032326,Pneumothorax
704,C0151559,Depressed level of consciousness
705,C0349231,Anxiety
706,C0016199,Flank pain
707,C0476281,Non-cardiac chest pain
708,C0013922,Embolism
709,C0151746,Renal impairment
710,C0151692,Impaired healing
711,C0033246,Proctitis
712,C0278106,Ejaculation failure
713,C0020452,Hyperaemia
714,C0860866,Blood potassium decreased
715,C0877055,Acute generalised exanthematous pustulosis
716,C0004623,Bacterial infection
717,C0005586,Bipolar I disorder
718,C0024115,Lung disorder
719,C0151872,Prothrombin level increased
720,C0917799,Hypersomnia
721,C0006625,Cachexia
722,C0038220,Status epilepticus
723,C0476280,Musculoskeletal chest pain
724,C0035309,Retinal disorder
725,C0020488,Hypernatraemia
726,C0020701,Conversion disorder
727,C0021775,Intermittent claudication
728,C0029878,Otitis externa
729,C0011880,Diabetic ketoacidosis
730,C0013298,Duodenitis
731,C0037284,Skin lesion
732,C0079102,Cerebral thrombosis
733,C0549475,Lipase increased
734,C0010709,Cyst
735,C0085616,Vasospasm
736,C0085623,Akinesia
737,C0521490,Application site irritation
738,C0235315,Faeces discoloured
739,C0029408,Osteoarthritis
740,C0037672,Somnambulism
741,C0699744,Ear infection
742,C0043349,Xerophthalmia
743,C0029261,Orgasm abnormal
744,C0853034,Blood creatine phosphokinase increased
745,C0024894,Mastitis
746,C0221242,Drug eruption
747,C0037315,Sleep apnoea syndrome
748,C0853700,Application site erythema
749,C0030318,Panic reaction
750,C0029928,Ovarian disorder
751,C0232726,Anorectal discomfort
752,C0233472,Affect lability
753,C0151799,Skin necrosis
754,C0151824,Biliary colic
755,C0877359,Liver function test abnormal
756,C0151937,Tendon rupture
757,C0025289,Meningitis
758,C0340909,Arteriovenous fistula thrombosis
759,C0423153,Lacrimation increased
760,C0034152,Henoch-Schonlein purpura
761,C0151698,Injection site haemorrhage
762,C0403723,Candiduria
763,C0474381,Chromatopsia
764,C0014335,Enteritis
765,C0455204,Homicidal ideation
766,C0151752,Galactorrhoea
767,C0034882,Anorectal disorder
768,C0235969,Ejaculation disorder
769,C0087169,Drug withdrawal syndrome
770,C0149725,Lower respiratory tract infection
771,C0270458,Major depression
772,C0018520,Breath odour
773,C0236068,Swollen tongue
774,C0274312,Graft complication
775,C0151601,Conjunctival oedema
776,C0032961,Pregnancy
777,C0019087,Haemorrhagic disorder
778,C0032584,Polyp
779,C0155626,Acute myocardial infarction
780,C0003460,Anuria
781,C2242996,Paraesthesia
782,C0026857,Musculoskeletal disorder
783,C0027059,Myocarditis
784,C0026896,Myasthenia gravis
785,C0152025,Polyneuropathy
786,C2981158,Loss of libido
787,C3665346,Blindness
788,C3489393,Hiatus hernia
789,C0000768,Developmental delay
790,C0039621,Tetany
791,C0040038,Embolism
792,C1096250,Abdominal discomfort
793,C1291078,Epigastric discomfort
794,C0004095,Asthenopia
795,C0018932,Haematochezia
796,C0151538,Dyskinesia
797,C0151517,Atrioventricular block complete
798,C1527358,Photosensitivity reaction
799,C1527407,Eosinophilic pneumonia
800,C1608945,Exfoliative rash
801,C0003615,Appendicitis
802,C0086525,Fatigue
803,C0015300,Exophthalmos
804,C0426576,Gastrointestinal disorder
805,C0409974,Systemic lupus erythematosus
806,C0302809,Hepatitis fulminant
807,C0016385,Cardiac flutter
808,C0016034,Fibrocystic breast disease
809,C0242073,Pulmonary congestion
810,C0241057,Skin burning sensation
811,C0264886,Conduction disorder
812,C0241633,Vulvovaginal dryness
813,C0019054,Haemolysis
814,C0033775,Pruritus genital
815,C0011334,Dental caries
816,C0546884,Hypovolaemia
817,C0035305,Retinal detachment
818,C0014356,Enterocolitis
